ekicode,groupcode,name,noriire,ido,keido
1131504,1131504,中神,3,139.375816,35.709058
1131505,1131505,昭島,2,139.361564,35.713305
1131506,1131506,拝島,6,139.343468,35.721278
1131507,1131507,牛浜,2,139.333677,35.734547
1131508,1131508,福生,4,139.327763,35.742456
1131509,1131509,羽村,2,139.316188,35.758073
1131510,1131510,小作,2,139.302233,35.776048
1131511,1131511,河辺,2,139.284032,35.78473
1131512,1131512,東青梅,2,139.272841,35.789768
1131513,1131513,青梅,5,139.258096,35.790512
1131514,1131514,宮ノ平,2,139.237289,35.787545
1131515,1131515,日向和田,2,139.229515,35.788665
1131516,1131516,石神前,2,139.225096,35.79683
1131517,1131517,二俣尾,2,139.216161,35.803946
1131518,1131518,軍畑,2,139.207431,35.807382
1131519,1131519,沢井,2,139.193324,35.80594
1131520,1131520,御嶽,4,139.182589,35.801468
1131521,1131521,川井,2,139.16429,35.813697
1131522,1131522,古里,2,139.152102,35.816247
1131523,1131523,鳩ノ巣,2,139.128932,35.815127
1131524,1131524,白丸,2,139.114861,35.811735
1131525,1131525,奥多摩,1,139.096961,35.809357
1131601,1131506,拝島,6,139.343468,35.721278
1131602,1131602,熊川,2,139.33584,35.728321
1131603,1131603,東秋留,2,139.311665,35.725904
1131604,1131604,秋川,2,139.286715,35.727998
1131605,1131605,武蔵引田,2,139.269907,35.729711
1131606,1131606,武蔵増戸,2,139.256355,35.730961
1131607,1131607,武蔵五日市,1,139.228039,35.732248
1131701,1130620,八王子,14,139.338998,35.655555
1131702,1131702,北八王子,2,139.363348,35.669232
1131703,1131703,小宮,2,139.368481,35.685799
1131704,1131506,拝島,6,139.343468,35.721278
1131705,1131705,東福生,2,139.33594,35.745811
1131706,1131706,箱根ケ崎,1,139.346805,35.771158
1131901,1130220,上野,19,139.777043,35.71379
1131902,1131902,尾久,6,139.753846,35.74683
1131903,1131903,赤羽,10,139.720928,35.778026
1132001,1130220,上野,19,139.777043,35.71379
1132002,1130218,日暮里,16,139.771287,35.727908
1132003,1132003,三河島,4,139.777131,35.733383
1132004,1132004,南千住,6,139.7994,35.734033
1132005,1132005,北千住,9,139.804872,35.749677
1132006,1132006,綾瀬,4,139.825019,35.762222
1132007,1132007,亀有,2,139.847573,35.766527
1132008,1132008,金町,2,139.870482,35.769582
1132101,1130201,大崎,8,139.728439,35.619772
1132102,1130204,恵比寿,8,139.71007,35.646685
1132103,1130205,渋谷,14,139.701238,35.658871
1132104,1130208,新宿,37,139.700464,35.689729
1132105,1130212,池袋,18,139.711086,35.730256
1132106,1132106,板橋,12,139.719507,35.745435
1132107,1132107,十条,4,139.722233,35.760321
1132108,1131903,赤羽,10,139.720928,35.778026
1132109,1132109,北赤羽,2,139.70569,35.787007
1132110,1132110,浮間舟渡,1,139.691341,35.791209
1132301,1130220,上野,19,139.777043,35.71379
1132302,1131902,尾久,6,139.753846,35.74683
1132303,1131903,赤羽,10,139.720928,35.778026
1132601,1130101,東京,20,139.766103,35.681391
1132602,1132602,八丁堀,4,139.777705,35.674617
1132603,1132603,越中島,2,139.792713,35.667946
1132604,1132604,潮見,2,139.817341,35.658702
1132605,1132605,新木場,4,139.827402,35.646172
1132606,1132606,葛西臨海公園,1,139.861529,35.644392
1132805,1130212,池袋,18,139.711086,35.730256
1132806,1130208,新宿,37,139.700464,35.689729
1132815,1131112,高尾,5,139.282288,35.642026
1132816,1130620,八王子,14,139.338998,35.655555
1132817,1130325,立川,14,139.413704,35.698202
1132818,1131106,国分寺,11,139.480841,35.700123
1132819,1131105,三鷹,9,139.560325,35.702683
1132820,1131104,吉祥寺,9,139.579765,35.703119
1132807,1130205,渋谷,14,139.701238,35.658871
1132808,1130103,品川,14,139.738999,35.62876
1132809,1130101,東京,20,139.766103,35.681391
1133210,1131903,赤羽,10,139.720928,35.778026
1133211,1133211,東十条,2,139.726858,35.763803
1133212,1133212,王子,21,139.73809,35.752538
1133213,1133213,上中里,2,139.745769,35.74728
1133214,1130216,田端,4,139.761229,35.737781
1133215,1130217,西日暮里,8,139.766857,35.731954
1133216,1130218,日暮里,16,139.771287,35.727908
1133217,1130219,鶯谷,4,139.778015,35.721484
1133218,1130220,上野,19,139.777043,35.71379
1133219,1130221,御徒町,11,139.774727,35.707282
1133220,1130222,秋葉原,9,139.773288,35.698619
1133221,1130223,神田,8,139.770641,35.691173
1133222,1130101,東京,20,139.766103,35.681391
1133223,1130225,有楽町,6,139.763806,35.675441
1133224,1130102,新橋,15,139.758587,35.666195
1133225,1130227,浜松町,5,139.757135,35.655391
1133226,1130228,田町,10,139.747575,35.645736
1133236,1130230,高輪ゲートウェイ,2,139.7407,35.6355
1133227,1130103,品川,14,139.738999,35.62876
1133228,1133228,大井町,5,139.73485,35.606257
1133229,1133229,大森,6,139.728079,35.588903
1133230,1133230,蒲田,6,139.716032,35.562517
1133302,1131903,赤羽,10,139.720928,35.778026
1133303,1130212,池袋,18,139.711086,35.730256
1133304,1130208,新宿,37,139.700464,35.689729
1133305,1130205,渋谷,14,139.701238,35.658871
1133306,1130204,恵比寿,8,139.71007,35.646685
1133307,1130201,大崎,8,139.728439,35.619772
1133308,1130804,西大井,2,139.721729,35.601616
1134301,1130101,東京,20,139.766103,35.681391
1134302,1130220,上野,19,139.777043,35.71379
2100101,1130212,池袋,18,139.710678,35.730924
