station_cd1,station_cd2,Lline_cd
1123006,1123035,L11230
1123007,1123008,L11230
1123008,1123009,L11230
1123009,1123010,L11230
1123010,1123011,L11230
1123011,1123012,L11230
1123012,1123013,L11230
1123013,1123014,L11230
1123014,1123015,L11230
1123015,1123016,L11230
1123016,1123017,L11230
1123017,1123018,L11230
1123018,1123019,L11230
1123019,1123020,L11230
1123020,1123021,L11230
1123021,1123022,L11230
1123022,1123023,L11230
1123023,1123024,L11230
1123024,1123025,L11230
1123025,1123026,L11230
1123026,1123027,L11230
1123027,1123028,L11230
1123028,1123029,L11230
1123029,1123030,L11230
1123030,1123031,L11230
1123031,1123034,L11230
1123032,1123033,L11230
1123034,1123032,L11230
1123035,1123007,L11230
1123101,1123102,L11231
1123102,1123103,L11231
1123103,1123104,L11231
1123104,1123105,L11231
1123105,1123106,L11231
1123106,1123107,L11231
1123107,1123108,L11231
1123108,1123109,L11231
1123109,1123110,L11231
1123110,1123111,L11231
1123111,1123112,L11231
1123112,1123113,L11231
1123113,1123114,L11231
1123114,1123115,L11231
1123115,1123116,L11231
1123116,1123117,L11231
1123117,1123118,L11231
1123118,1123119,L11231
1123119,1123120,L11231
1123120,1123121,L11231
1123121,1123122,L11231
1123122,1123123,L11231
1123123,1123124,L11231
1123124,1123125,L11231
1123125,1123126,L11231
1123126,1123127,L11231
1123127,1123128,L11231
1123128,1123129,L11231
1123129,1123130,L11231
1123130,1123131,L11231
1123131,1123132,L11231
1123132,1123133,L11231
1123133,1123134,L11231
1123134,1123135,L11231
1123135,1123136,L11231
1123136,1123137,L11231
1123137,1123138,L11231
1123138,1123139,L11231
1123139,1123140,L11231
1123140,1123141,L11231
1123141,1123142,L11231
1123142,1123143,L11231
1123143,1123144,L11231
1123144,1123145,L11231
1123145,1123146,L11231
1123145,1123148,L11231
1123146,1123147,L11231
1123148,1123149,L11231
1123149,1123150,L11231
1123150,1123151,L11231
1123151,1123152,L11231
