station_cd1,station_cd2,Lline_cd
1110610,1110611,L11106
1110611,1110612,L11106
1110612,1110613,L11106
1110613,1110614,L11106
1110614,1110615,L11106
1110615,1110616,L11106
1110616,1110617,L11106
1110617,1110618,L11106
1110701,1110702,L11107
1110702,1110704,L11107
1110704,1110705,L11107
1110705,1110706,L11107
1110706,1110707,L11107
1110707,1110708,L11107
1110708,1110709,L11107
1110709,1110710,L11107
1110710,1110712,L11107
1110712,1110713,L11107
1110713,1110714,L11107
1110714,1110715,L11107
1110715,1110716,L11107
1110716,1110717,L11107
1110717,1110718,L11107
1110718,1110720,L11107
1110720,1110723,L11107
1110723,1110725,L11107
1110725,1110726,L11107
1110726,1110727,L11107
1110727,1110728,L11107
1110728,1110729,L11107
1110729,1110730,L11107
1110730,1110731,L11107
1110801,1110802,L11108
1110802,1110803,L11108
1110803,1110804,L11108
1110804,1110805,L11108
1110805,1110806,L11108
1110806,1110807,L11108
1110807,1110808,L11108
1110808,1110809,L11108
1110809,1110810,L11108
1110810,1110811,L11108
1110811,1110812,L11108
1110812,1110813,L11108
1110813,1110815,L11108
1110815,1110816,L11108
1110816,1110817,L11108
1110817,1110818,L11108
1110818,1110820,L11108
1110820,1110821,L11108
1110901,1110902,L11109
1110902,1110903,L11109
1110903,1110906,L11109
1110905,1110906,L11109
1110906,1110907,L11109
1110907,1110908,L11109
1110908,1110909,L11109
1110909,1110910,L11109
1110910,1110911,L11109
1110911,1110912,L11109
1110912,1110913,L11109
1110913,1110914,L11109
1110914,1110915,L11109
1110915,1110916,L11109
1110916,1110917,L11109
1110917,1110918,L11109
1110918,1110919,L11109
1111001,1111002,L11110
1111002,1111004,L11110
1111004,1111005,L11110
1111005,1111007,L11110
1111007,1111013,L11110
1111013,1111014,L11110
1111014,1111015,L11110
1111101,1111102,L11111
1111102,1111103,L11111
1111103,1111104,L11111
1111104,1111105,L11111
1111105,1111106,L11111
1111106,1111107,L11111
1111107,1111108,L11111
1111108,1111109,L11111
1111109,1111110,L11111
1111110,1111111,L11111
1111111,1111112,L11111
1111112,1111113,L11111
1111113,1111114,L11111
1111114,1111115,L11111
1111115,1111117,L11111
1111117,1111118,L11111
1111118,1111119,L11111
1111119,1111120,L11111
1111120,1111121,L11111
1111121,1111122,L11111
1111122,1111123,L11111
1111123,1111124,L11111
1111124,1111125,L11111
1111125,1111126,L11111
1111126,1111127,L11111
1111127,1111128,L11111
1111128,1111129,L11111
1111129,1111130,L11111
1111201,1111202,L11112
1111202,1111203,L11112
1111203,1111204,L11112
1111204,1111205,L11112
1111205,1111206,L11112
1111206,1111207,L11112
1111207,1111208,L11112
1111208,1111209,L11112
1111209,1111210,L11112
1111210,1111211,L11112
1111211,1111212,L11112
1111212,1111213,L11112
1111213,1111214,L11112
1111301,1111302,L11113
1111302,1111303,L11113
1111303,1111304,L11113
1111304,1111305,L11113
1111305,1111306,L11113
1111306,1111307,L11113
1111307,1111308,L11113
1111308,1111309,L11113
1111309,1111310,L11113
1111310,1111311,L11113
1111311,1111312,L11113
1111401,1111402,L11114
1111402,1111403,L11114
1111403,1111404,L11114
1111404,1111405,L11114
1111405,1111406,L11114
1111406,1111407,L11114
1111407,1111408,L11114
1111408,1111409,L11114
1111409,1111410,L11114
1111410,1111411,L11114
1111411,1111412,L11114
1111412,1111413,L11114
1111413,1111414,L11114
1111414,1111415,L11114
1111415,1111416,L11114
1111416,1111417,L11114
1111417,1111418,L11114
1111501,1111502,L11115
1111502,1111503,L11115
1111503,1111504,L11115
1111504,1111505,L11115
1111505,1111507,L11115
1111507,1111509,L11115
1111509,1111510,L11115
1111510,1111511,L11115
1111511,1111513,L11115
1111513,1111515,L11115
1111515,1111517,L11115
1111517,1111518,L11115
1111518,1111519,L11115
1111519,1111520,L11115
1111520,1111521,L11115
1111521,1111522,L11115
1111522,1111524,L11115
1111524,1111525,L11115
1111525,1111527,L11115
1111527,1111528,L11115
1111528,1111530,L11115
1111530,1111532,L11115
1111532,1111533,L11115
1111533,1111534,L11115
1111534,1111535,L11115
1111535,1111536,L11115
1111536,1111537,L11115
1111537,1111538,L11115
1111538,1111539,L11115
1111539,1111540,L11115
1111540,1111541,L11115
1111541,1111543,L11115
1111543,1111545,L11115
1111545,1111546,L11115
1111546,1111547,L11115
1111547,1111549,L11115
1111549,1111550,L11115
1111550,1111551,L11115
1111551,1111552,L11115
1111552,1111553,L11115
1111601,1111602,L11116
1111602,1111603,L11116
1111603,1111604,L11116
1111604,1111605,L11116
1111605,1111607,L11116
1111607,1111608,L11116
1111608,1111610,L11116
1111610,1111611,L11116
1111611,1111612,L11116
1111612,1111613,L11116
1111613,1111614,L11116
1111614,1111616,L11116
1111616,1111618,L11116
1111618,1111621,L11116
1111621,1111622,L11116
1111622,1111623,L11116
1111623,1111624,L11116
1111624,1111626,L11116
1111626,1111628,L11116
1111628,1111629,L11116
1111629,1111630,L11116
1111630,1111631,L11116
1111631,1111632,L11116
1111632,1111633,L11116
1111633,1111634,L11116
1111634,1111635,L11116
1111635,1111636,L11116
1111636,1111637,L11116
1111637,1111638,L11116
1111638,1111639,L11116
1111639,1111640,L11116
1111640,1111641,L11116
1111641,1111642,L11116
1111701,1111702,L11117
1111702,1111703,L11117
1111703,1111704,L11117
